text,label
"a much needed kick , making `` Die Another Day '' one of the most entertaining Bonds in years",1
ever a concept came handed down from the movie gods on a silver platter,1
"of the word -- mindless , lifeless , meandering , loud , painful , obnoxious",0
"Though it 's not very well shot or composed or edited , the score is too insistent and",0
very thrilling,1
keep the proceedings as funny for grown-ups as for rugrats,1
expressive,1
Diane Lane works nothing short of a minor miracle in Unfaithful .,1
"Great performances ,",1
gem,1
the world 's most fascinating stories,1
"intricate , intimate and intelligent",1
that throws one in the pulsating thick of a truly frightening situation,1
low-brow,0
a powerful and deeply moving example of melodramatic moviemaking,1
captivated,1
"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ;",0
screams,0
for adventurous Indian filmmakers toward a crossover,1
cause loads of irreparable damage,0
a splendid job,1
"In other words , it 's badder than bad .",0
", the screenplay only comes into its own in the second half .",1
Smarter than its commercials make it seem .,1
best possible,1
riveting and surprisingly romantic,1
", inspirational drama",1
more repulsive,0
to jump in my chair,1
as I laughed throughout the movie,1
musty,0
I 'm not sure these words have ever been together in the same sentence : This erotic cannibal movie is boring .,0
considerable aplomb,1
"It 's fun , splashy and entertainingly nasty .",1
wasted nearly two hours of your own precious life,0
meaningful for both kids and church-wary adults,1
stylistic austerity and forcefulness,1
may be a flawed film,0
a sharp script and,1
"shining with all the usual Spielberg flair ,",1
be another shameless attempt by Disney to rake in dough from baby boomer families,0
a defiantly retro chord,1
smoky and,1
"in spite of all that he 's witnessed , remains surprisingly idealistic",1
"is hard to dismiss -- moody , thoughtful , and lit by flashes of mordant humor .",1
'll be thinking of 51 ways to leave this loser,0
A sobering and powerful documentary about the most severe kind of personal loss :,1
While this film has an ` A ' list cast and some strong supporting players,1
come with the warning,0
you reach the finale,1
"intimate , unguarded moments",1
the poor quality,0
truly good,1
An intelligent romantic thriller,1
sit through about 90 minutes of a so-called ` comedy ' and not laugh once,0
still works .,1
"Patchy combination of soap opera ,",0
"is shallow , offensive and redundant , with pitifully few real laughs .",0
"colorful , vibrant introduction",1
"insightfully written , delicately performed",1
"take his smooth , shrewd , powerful act",1
A moving picture that does not move .,0
in its poetic symbolism,1
"Like a veteran head cutter , Barbershop is tuned in to its community .",1
"a summer of teen-driven , toilet-humor codswallop",0
made with careful attention to detail,1
in prehistoric hilarity,1
some movies that hit you from the first scene,1
is still worth,1
lack-of-attention,0
a throwback war movie,1
'll find in this dreary mess .,0
shows all the signs of rich detail condensed into a few evocative images and striking character traits .,1
the funniest idea,1
one visual marvel,1
painful and,0
is explosive,1
-LRB- headbanger -RRB-,1
"contains no wit , only labored gags .",0
large-scale,1
have marked an emerging Indian American cinema,1
Needs more impressionistic,0
The Armenian genocide,0
"out-shock , out-outrage or out-depress",0
limited and so embellished by editing that there 's really not much of a sense of action,0
remarkable yet shockingly little-known perspective,1
's never as solid as you want it to be,0
conjured up more coming-of-age stories than seem possible,1
Its premise is smart,1
even the corniest,0
seem to get anywhere near the story 's center,0
miserable and,0
Morrissette has performed a difficult task indeed,1
spirit-crushing,0
emotional force,1
"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",1
proud warrior,1
merely offensive,0
", you still have to see this !",1
An ill-conceived,0
to sell us on this twisted love story,1
some of the back-story is a little tired,0
"What they 're doing is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge .",0
"Unlike most surf movies , Blue Crush thrillingly uses modern technology to take the viewer inside the wave .",1
"If the film has a problem , its shortness disappoints : You want the story to go on and on .",1
"switch to a mix of The Shining , The Thing , and any naked teenagers horror flick from the 1980s",0
most of the pitfalls you 'd expect in such a potentially sudsy set-up,0
sweet Cinderella story,1
sluggish pace and lack,0
De Niro -RRB-,0
is going to be something really good,1
Kafka,1
the clever credits roll,1
"race and culture forcefully told , with superb performances throughout",1
are n't many conclusive answers in the film,0
bursting,1
viewers out in the cold and undermines some phenomenal performances .,0
many definitions of ` time waster ',0
to congratulate himself for having the guts to confront it,1
Everlasting,1
The film is flat .,0
'll cry for your money back .,0
the grandness of romance,1
as comfort food often can,1
laugh if a tuba-playing dwarf rolled down a hill in a trash can,0
well-made and satisfying thriller,1
Dahmer resorts to standard slasher flick,0
"A low-budget affair , Tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction",0
the playwright Craig Lucas explored with infinitely more grace and eloquence in his Prelude to a Kiss,1
"Medem may have disrobed most of the cast , leaving their bodies exposed , but the plot remains as guarded as a virgin with a chastity belt",0
of fleetingly interesting actors ' moments,0
", organic character work",1
"Leave it to the French to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama .",1
generous,1
make this a charmer,1
This film biggest problem ?,0
The only surprise,0
"The Mothman Prophecies , which is mostly a bore ,",0
unexpected twists,1
For something as splendid-looking as this particular film,1
is callow,0
"a paunchy midsection ,",0
a new treasure,1
unexpectedly adamant streak,1
"poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo .",0
"anguish , anger and frustration",0
"The unique niche of self-critical , behind-the-scenes navel-gazing Kaufman has carved from Orleans ' story",1
Important,1
What 's infuriating about Full Frontal is that it 's too close to real life to make sense .,0
"Happily , some things are immune to the folly of changing taste and attitude .",1
"'s good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart",1
its full potential,1
enormous packages,1
charming and quirky,1
cold have been,0
smarter offerings,1
This movie sucks . ',0
David Spade as Citizen Kane ?,0
Rarely does such high-profile talent serve such literate material .,1
are often engaging,1
be a true ` epic ',1
make you think about existential suffering,1
be the next Animal House,1
family-friendly,1
the gorgeous locales and exceptional lead performances,1
a classic mother\/daughter struggle in recycled paper with a shiny new bow,0
is too amateurishly square to make the most of its own ironic implications,0
"is , to some degree at least , quintessentially American",1
doing nothing,0
us to remember that life 's ultimately a gamble and last orders are to be embraced,1
underdone,0
's definite room for improvement,0
an essentially awkward version of the lightweight female empowerment picture we 've been watching for decades,0
Wilco fans will have a great time,1
so much tongue-in-cheek weirdness,0
handsome locations,1
romp that will have viewers guessing just who 's being conned right up to the finale,1
"have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances",0
one Hollywood cliche,0
the big metaphorical wave that is life -- wherever it takes you,1
While the film is not entirely successful,0
Lucky Break is -LRB- Cattaneo -RRB- sophomore slump .,0
brutally dry,0
listless and desultory affair,0
not compelling,0
`` interesting '',1
The first Bond movie in ages that is n't fake fun,1
to be smarter and more diabolical than you could have guessed at the beginning,1
amusing for about three minutes,0
Deep intelligence,1
last-minute,0
"lusty , boisterous and utterly charming",1
a laugh,1
are lukewarm and quick to pass .,0
more like a travel-agency video,0
the flaws,0
shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the Inuit people .,1
"Graphic sex may be what 's attracting audiences to Unfaithful , but gripping performances by Lane and Gere are what will keep them awake .",1
Rife with nutty cliches and far too much dialogue,0
the filmmaker 's extraordinary access,1
-LRB- and better -RRB-,1
"with fantasies , daydreams , memories and one fantastic visual trope",1
the dreary expanse of dead-end distaste,0
doze off for a few minutes,0
flashbulb editing as cover for the absence of narrative continuity,0
refreshingly,1
of a comedy of a premise,1
two-dimensional and,0
"of the most creative , energetic and original comedies to hit the screen in years",1
saccharine genre,0
for the uninitiated plays better on video with the sound,0
A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .,1
is as predictable as can be,0
spectacle and,0
admire,1
wasting away,0
"cast , but beautifully",1
its utterly misplaced earnestness,0
of demonic doings on the high seas that works better the less the brain is engaged,0
should not be missed,1
"Even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end ... you almost do n't notice the 129-minute running time",1
bears a grievous but obscure complaint against fathers,0
deal funnier,1
stereotypical,0
cleverly,1
"a pleasant distraction , a Friday night diversion , an excuse to eat popcorn",1
nostalgic comments,1
is no substitute for on-screen chemistry,0
"'s funny and human and really pretty damned wonderful , all at once",1
hate El Crimen del Padre Amaro because it 's anti-Catholic,0
"a pathetic , endearing hero",1
", after-school special",0
understated performances of -LRB- Jack Nicholson 's -RRB- career,0
"Smart and fun , but far more witty than it is wise .",1
with bloody beauty as vivid,1
careens from one colorful event to another,1
pomposity,0
"characters who are either too goodly , wise and knowing or downright comically evil",0
a better person,1
could have been a confusing and horrifying vision into an intense and engrossing head-trip,0
What might have emerged as hilarious lunacy in the hands of Woody Allen or Mel Brooks -LRB- at least during their '70s heyday -RRB- comes across as lame and sophomoric in this debut indie feature .,0
artificial and opaque,0
The story really has no place to go since Simone is not real -- she ca n't provide any conflict .,0
nincompoop Benigni persona,0
"creates a portrait of two strong men in conflict , inextricably entwined through family history , each seeing himself in the other , neither liking what he sees",1
lack of thematic resonance,0
has actually bothered to construct a real story this time .,1
to the empty stud knockabout of Equilibrium,0
"More concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers",0
"This is a truly , truly bad movie .",0
bungle their way,0
One thing you have to give them credit for : The message of the movie is consistent with the messages espoused in the company 's previous video work .,1
into a gorgeously atmospheric meditation on life-changing chance encounters,1
a probing examination of a female friendship set against a few dynamic decades,1
due to its rapid-fire delivery and enough inspired levity,1
its strengths,1
developed characters,1
must indeed,1
ambiguous,1
"If the film has a problem , its shortness disappoints :",0
"also has a good ear for dialogue , and the characters sound like real people .",1
which is worth seeing,1
forcing,0
"Shadyac , who belongs with the damned for perpetrating Patch Adams",0
more ways,1
had more fun,1
"a finely written ,",1
"the next , hastily , emptily",0
is even worse than I imagined a movie ever could be,0
"buried somewhere inside its fabric , but never clearly seen or felt",0
four-star movie,1
a grouchy ayatollah in a cold mosque,0
's hard to imagine that even very small children will be impressed by this tired retread,0
the dialogue and drama often food-spittingly funny,1
a re-hash,0
In Cannes offers rare insight into the structure of relationships .,1
droning house music,0
A hit,1
illustrates the ability of the human spirit to overcome adversity .,1
", wonderful",1
gross romanticization of the delusional personality type,0
"is a waste of De Niro , McDormand and the other good actors in the cast",0
actually manages to bring something new into the mix,1
especially well-executed,1
far the worst movie,0
"small , intelligent eyes",1
", pratfalls , dares , injuries , etc.",0
does n't have a passion for the material,0
if it 's filmed Tosca that you want,1
"We never feel anything for these characters , and as a result the film is basically just a curiosity",0
give a backbone to the company,1
"is a touching reflection on aging , suffering and the prospect of death",1
"aims to be funny , uplifting and moving , sometimes all at once .",1
"recite bland police procedural details , Fiennes wanders",0
nothing we have n't seen before from Murphy,0
biologically,1
decidedly uncinematic,0
mishmash .,0
"There are some fairly unsettling scenes , but they never succeed in really rattling the viewer",0
"post-September 11 , `` The Sum Of All Fears '' seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves .",0
slopped,0
just different bodies for sharp objects to rip through,0
eventually the content is n't nearly as captivating as the rowdy participants think it is .,0
found the movie as divided against itself as the dysfunctional family it portrays,0
enormously endearing,1
"otherwise appalling , and downright creepy , subject",0
joyful solo performance,1
Watching it was painful,0
"that is dark , disturbing , painful to watch , yet compelling",1
Wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .,1
to make box office money that makes Michael Jordan jealous,1
"does n't really believe in it , and breaks the mood with absurdly inappropriate ` comedy ' scenes .",0
the gloss,1
An energetic and engaging film,1
blubber,0
make `` The Good Girl '' a film worth watching,1
"Not that I mind ugly ; the problem is he has no character , loveable or otherwise .",0
"Attal 's hang-ups surrounding infidelity are so old-fashioned and , dare I say , outdated ,",0
intriguing subject,1
"it 's still tainted by cliches , painful improbability and murky points .",0
lazy tearjerker,0
most entertaining Bonds,1
Uneven but a lot of fun .,1
no clear-cut hero and no all-out villain,0
"Such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production .",0
May take its sweet time to get wherever it 's going,0
's surprisingly decent,1
hypocritical,0
", satisfying",1
"The jokes are sophomoric ,",0
improvement,1
Sleek and arty,1
anyone who has seen The Hunger or Cat People will find little new here,0
first-class,1
bring new energy,1
Greg Kinnear gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior .,1
with grace and panache,1
brings out the worst in otherwise talented actors,0
's not really funny,0
elegantly considers various levels of reality,1
hooks us completely,1
an avid interest in the subject,1
to save the movie,0
"'s the kind of under-inspired , overblown enterprise that gives Hollywood sequels a bad name .",0
great time,1
and quirky comedy,1
compelled to watch the film twice or pick up a book on the subject,1
a flashy editing style that does n't always jell with Sean Penn 's monotone narration,0
"Melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold",1
even more unmentionable subjects seem like mere splashing around in the muck,0
There is greatness here .,1
cherished,1
The concept is a hoot .,1
shining star,1
", life-affirming script",1
this much imagination and,1
has no real point,0
"While general audiences might not come away with a greater knowledge of the facts of Cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",1
need of some trims and,0
An undistinguished attempt to make a classic theater piece,0
"bland police procedural details , Fiennes",0
an attempt to do something different over actually pulling it off,0
"indie of the year , so far .",1
a female friendship set against a few dynamic decades,1
since Freddy Got Fingered,0
mostly believable,1
down to whether you can tolerate Leon Barlow,0
a wonderful ensemble cast,1
work in the same vein as the brilliance of Animal House,1
a satisfying evening at the multiplex,1
"cultural , sexual and social discord",0
incisive and,1
a testament to De Niro and director Michael Caton-Jones,1
suavity,1
In visual fertility Treasure Planet rivals the top Japanese animations of recent vintage .,1
A beautifully,1
Leigh makes these lives count .,1
"If Ayurveda can help us return to a sane regimen of eating , sleeping and stress-reducing contemplation , it is clearly a good thing .",1
"Solondz may be convinced that he has something significant to say , but he is n't talking a talk that appeals to me",0
predominantly amateur cast is painful to watch,0
Collapses after 30 minutes into a slap-happy series of adolescent violence .,0
clean-cut,1
grimace,0
is genuinely witty,1
feels like very light Errol Morris,1
might actually want to watch,1
brief pretentious period,0
very real,1
"is exceedingly pleasant , designed not to offend .",1
"'s crafty , energetic and smart",1
"A long , dull procession of despair , set to cello music culled from a minimalist funeral .",0
"stupidity , incoherence and sub-sophomoric sexual banter",0
zings all the way,1
"incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one",0
got it right,1
"Feardotcom 's thrills are all cheap ,",0
above-average thriller,1
"has a lot going for it , not least the brilliant performances by Testud ... and Parmentier .",1
The very definition of what critics have come to term an `` ambitious failure,0
the horrors of the killing field and the barbarism of ` ethnic cleansing,0
yawn-provoking,0
if only because it accepts nasty behavior and severe flaws as part of the human condition,0
Greengrass,1
of the match that should be used to burn every print of the film,0
lacking in charm and charisma,0
recycle images and characters that were already tired 10 years ago,0
", unmemorable filler .",0
except when the fantastic Kathy Bates turns up,1
Funny and also heartwarming without stooping to gooeyness .,1
funny bone,1
a flick boasting this many genuine cackles,1
"some contrived banter , cliches and",0
proving once again ego does n't always go hand in hand with talent,0
narcissism,0
"on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb",1
that never catches fire,0
Pompous and garbled,0
", find an escape clause and avoid seeing this trite , predictable rehash .",0
A clever script and skilled actors,1
While I ca n't say it 's on par with the first one,0
a great way,1
may well be the only one laughing at his own joke,0
"The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage",0
"an era dominated by cold , loud special-effects-laden extravaganzas",1
It makes even Elizabeth Hurley seem graceless and ugly .,0
"Normally , Rohmer 's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes his films so memorable .",0
The powerful success,1
crowd-pleasing,1
"Mandel Holland 's direction is uninspired , and his scripting unsurprising ,",0
"sweetness , clarity and emotional openness",1
the film ultimately fails,0
runs through Balzac and the Little Chinese Seamstress that transforms this story about love and culture into a cinematic poem .,1
of the family vacation,1
by Working Girl scribe Kevin Wade,0
The amazing film work is so convincing that by movies ' end you 'll swear you are wet in some places and feel sand creeping in others .,1
", it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",1
"they will have a showdown , but , by then , your senses are as mushy as peas",0
with style and empathy,1
liveliness,1
of becoming a better person through love,1
"During The Tuxedo 's 90 minutes of screen time , there is n't one true ` Chan moment ' .",0
it does have one saving grace .,1
cause massive cardiac arrest,0
angry,0
"immensely ambitious , different than anything that 's been done before and amazingly successful in terms of what it 's trying to do",1
an important film,1
behind the scenes of Chicago-based rock group Wilco,1
that quickly wears out its limited welcome,0
grandly,1
by the dynamic first act,1
appreciates,1
predecessors,1
Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .,1
ear-pleasing songs,1
with a grand whimper,0
's what makes their project so interesting,1
it merely lacks originality to make it a great movie,0
"When it 's not wallowing in hormonal melodrama , `` Real Women Have Curves '' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams .",1
is pleasant enough,1
where story is almost an afterthought,0
full price,1
The animation and backdrops are lush and inventive,1
sharp comic timing that makes the more hackneyed elements of the film easier to digest,1
seen such self-amused trash,0
is that it jams too many prefabricated story elements into the running time .,0
that are powerful and moving without stooping to base melodrama,1
You expect more from director Michael Apted -LRB- Enigma -RRB- and screenwriter Nicholas Kazan -LRB- Reversal of Fortune -RRB- than this cliche pileup .,0
"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",1
more elves and snow and,0
know how to suffer ' and if you see this film you 'll know too,0
Brosnan gives a portrayal as solid and as perfect as his outstanding performance as Bond in Die Another Day .,1
"is fascinating , though , even if the movie itself does n't stand a ghost of a chance",1
misconstrued as weakness,1
its splendor,1
Aggressive self-glorification and a manipulative whitewash .,0
"A vibrant , colorful , semimusical rendition .",1
"put away the guitar ,",1
", the satire is weak .",0
"the story feels like the logical , unforced continuation of the careers of a pair of spy kids",1
I 've ever seen that had no obvious directing involved,0
"You can fire a torpedo through some of Clancy 's holes , and the scripters do n't deserve any Oscars .",0
", annoying , heavy-handed",0
the city 's old-world charm,1
"It 's been 13 months and 295 preview screenings since I last walked out on a movie ,",0
"American and European cinema has amassed a vast Holocaust literature , but it is impossible to think of any film more challenging or depressing than The Grey Zone .",0
I 'm actually having a hard time believing people were paid to make it,0
addictive,1
"A searing , epic treatment of a nationwide blight that seems to be",1
of sharp writing,1
pathetic idea,0
"Eileen Walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .",1
"re-create the excitement of such '50s flicks as Jules Verne 's ' 20,000 Leagues Under the Sea ' and the George Pal version of H.G. Wells ' ` The Time Machine",1
last 15 years,1
is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life,0
put together with the preteen boy in mind,0
-LRB- Has -RRB- an immediacy and an intimacy that sucks you in and dares you not to believe it,1
"the film settles in and becomes compulsively watchable in a guilty-pleasure , daytime-drama sort of fashion .",1
"degenerating into a pious , preachy soap opera",0
"A summer entertainment adults can see without feeling embarrassed , but it could have been more .",1
"It 's a square , sentimental drama that satisfies , as comfort food often can .",1
this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity .,1
returns as a visionary with a tale full of nuance and character dimension,1
fitting,1
a certain degree of wit and dignity,1
be as lonely and needy,0
"power to deform families , then tear them apart",0
confined and,0
actually thrilled,1
be hard put to find a movie character more unattractive or odorous -LRB- than Leon -RRB-,0
"that Mel Gibson can gasp , shudder and even tremble without losing his machismo",1
"Praise of Love , the sort of bitter old crank who sits behind his light meter and harangues the supposed injustices of the artistic world-at-large",0
"the women look more like stereotypical caretakers and moral teachers , instead of serious athletes",0
writer\/director Achero Manas 's film,1
did I miss something ? '',0
"A long , dull procession of despair ,",0
The heat of the moment,1
"Feels aimless for much of its running time , until late in the film when a tidal wave of plot arrives , leaving questions in its wake .",0
"Does n't deliver a great story , nor is the action as gripping as in past Seagal films",0
a real movie,1
maintain a straight face,1
"treads heavily into Romeo and Juliet\/West Side Story territory , where it plainly has no business going",0
the world 's best actors,1
exploitation flick,0
that is more accurate than anything I have seen in an American film,1
whole hours,1
"the characters are complex , laden with plenty of baggage and tinged with tragic undertones",1
", taut , piercing and feisty",1
over-indulgent tirade,0
so much crypt mist in the brain,0
's quite an achievement to set and shoot a movie at the Cannes Film Festival and yet fail to capture its visual appeal or its atmosphere,0
"Mr. Deeds is , as comedy goes , very silly --",1
merely bad,0
"is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the `` webcast . ''",0
a pleasing way with a metaphor,1
-LRB- A -RRB- devastatingly powerful and astonishingly vivid Holocaust drama .,1
that provides a rounded and revealing overview of this ancient holistic healing system,1
something awfully deadly,0
for self-deprecating comedy,1
"wacky sight gags , outlandish color schemes",0
"lines , the impressive stagings of hardware",1
feel like it 's wasted yours,0
in a dead-end existence,0
a more annoying,0
"through this interminable , shapeless documentary about the swinging subculture",0
gasp,1
will cause loads of irreparable damage that years and years of costly analysis could never fix,0
"can not help but love Cinema Paradiso , whether the original version or new Director 's Cut",1
it is an uneven film for the most part,0
street-smart,1
its magic,1
"a film about something , one that attempts and often achieves a level of connection and concern",1
"arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .",1
"the first two are ruined by amateurish writing and acting , while the third feels limited by its short running time",0
"with colour and depth , and rather a good time",1
be made on the cheap,0
's refreshing that someone understands the need for the bad boy,1
A moving story of determination and the human spirit .,1
's nothing here to match that movie 's intermittent moments of inspiration .,0
'll be treated to an impressive and highly entertaining celebration of its sounds,1
reveals how we all need a playful respite from the grind to refresh our souls .,1
"no charm , no laughs ,",0
benefit enormously from the Cockettes ' camera craziness -- not only did they film performances,1
grave,0
all too literally,0
give Blade fans another look at Wesley Snipes ' iconic hero doing battle with dozens of bad guys -- at once,1
Take any 12-year-old boy to see this picture,1
"has all the trappings of an energetic , extreme-sports adventure , but",1
goodness for this signpost,1
"The film was produced by Jerry Bruckheimer and directed by Joel Schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one -LRB- and no one -RRB- .",0
to get by on humor that is not even as daring as John Ritter 's glory days on Three 's Company,0
Oscar nomination,1
works on no level whatsoever for me,0
very amusing,1
"Another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film ,",0
", remains surprisingly idealistic",1
hopelessly juvenile,0
a light-hearted way,1
possibly the worst film,0
intimate and socially encompassing,1
's there to scare while we delight in the images,1
", Unfaithful is at once intimate and universal cinema .",1
too much obvious padding,0
a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people,0
keeps you,1
"was produced by Jerry Bruckheimer and directed by Joel Schumacher , and reflects the worst of their shallow styles",0
minutely detailed wonders,1
a hint,1
"'s fairly lame , making it par for the course for Disney sequels",0
thoughtful war films,1
"But the talented cast alone will keep you watching , as will the fight scenes .",1
in a sincere performance,1
ransacks,0
"Though it 's equally solipsistic in tone , the movie has enough vitality to justify the notion of creating a screen adaptation of Evans ' saga of Hollywood excess .",1
undone by a filmmaking methodology that 's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads,0
some worthwhile themes,1
a manipulative whitewash,0
"A college story that works even without vulgarity , sex scenes , and cussing !",1
depends a lot on how interesting and likable you find them,1
", overnight , is robbed and replaced with a persecuted `` other",0
failing,0
leftovers that are n't so substantial or fresh,0
"-LRB- Gulpilil -RRB- is a commanding screen presence ,",1
'm not sure which will take longer to heal : the welt on Johnny Knoxville 's stomach from a riot-control projectile or my own tortured psyche .,0
"Now as a former Gong Show addict , I 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show .",1
you 've never seen the deep like you see it in these harrowing surf shots,1
"a coherent , believable story",1
you can with a stuttering script,0
A story about intelligent high school students that deals with first love sweetly but also seriously .,1
only to keep letting go at all the wrong moments,0
an actress,1
A grand fart coming from a director beginning to resemble someone 's crazy French grandfather,0
get to the closing bout ... by which time it 's impossible to care who wins,0
sometime bitter movie about love,1
"Everything about The Quiet American is good , except its timing .",1
An awful snooze .,0
that Kidman has become one of our best actors,1
"are treated as docile , mostly wordless ethnographic extras",0
nervy and memorable,1
is a poem to the enduring strengths of women,1
only comes to no good,0
Working from a surprisingly sensitive script co-written,1
"some kid who ca n't act , only echoes of Jordan , and weirdo actor Crispin Glover screwing things up old school",0
"for following up a delightful , well-crafted family film with a computer-generated cold fish",1
"Peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the Dogtown experience .",1
has the thrown-together feel of a summer-camp talent show : hastily written,0
'' is the film equivalent of a lovingly rendered coffee table book .,1
saddens,0
self-indulgent,0
unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre,1
